,BankOfKaohsiung,entibank,first bank,mega bank,taishinbank,twbank,三信,上海商銀,中國信託匯率,元大銀行,匯豐,台北富邦銀行,台灣中小,台灣土地銀行,合作金庫,大眾,新光,日盛,cathay united bank,esunbank
USD,31.069250000000004,31.177999999999997,31.06925,31.0685,31.144149999999996,31.06675,31.131099999999996,31.102999999999998,31.208000000000006,31.181099999999997,31.0685,31.11975,31.073999977999996,31.099950000000007,31.12365384615384,31.3048,31.3048,30.9723,31.107,31.065000000000005
HKD,4.0322,4.046799999999999,4.0341000000000005,4.040749999999999,4.041775,4.03115,4.01656,4.033949999999999,4.049933333333334,4.0386500000000005,4.040749999999999,4.03569,4.02824996705,4.035299999999999,4.030242307692307,4.073555,4.073555,,4.0367,4.031549999999999
GBP,46.5525,46.766000000000005,46.55254999999999,46.650999999999996,46.685,46.5705,46.51705499999999,46.57549999999999,46.725,46.71900000000001,46.650999999999996,46.637595000000005,46.557999992999996,46.58599999999999,46.57,,,,46.605999999999995,46.612
AUD,24.101999999999997,24.219,24.098699999999997,24.1735,24.177,24.114500000000003,24.086495000000003,24.112000000000002,24.18326666666666,24.1825,24.1735,24.173979999999997,24.10549984,24.119999999999997,24.100384615384616,,,,24.135499999999997,24.124000000000002
CAD,25.216,25.335,25.218349999999997,25.2765,25.28,25.230999999999995,25.210279999999997,25.2615,25.291900000000005,25.309499999999996,25.2765,25.309355,25.170499800999995,25.23,25.206153846153846,,,,25.259499999999996,25.2495
SGD,23.064999999999994,,23.0879,23.131000000000004,23.1245,23.083,,23.122,23.1862,23.151,23.131000000000004,23.148830000000004,23.083500004,23.087,23.09653846153846,,,,23.114499999999996,23.0825
CHF,32.3455,32.4695,32.357899999999994,32.407,32.4025,32.361999999999995,32.34545999999999,32.37899999999999,32.52566666666666,32.4385,32.407,32.427295,32.3245000845,32.356,32.36923076923077,,,,32.397000000000006,32.398999999999994
JPY,0.26171500000000003,0.26284500000000005,0.26144,0.262125,0.262085,0.26145999999999997,0.26039,0.26159,0.26270000000000004,0.26158499999999996,0.262125,0.26159499999999997,0.26150000090000003,0.26167999999999997,0.2618346153846154,0.263075,0.263075,,0.26175000000000004,0.2614
ZAR,2.6346999999999996,2.6505,2.63175,2.6489999999999996,2.6579,2.636,2.59103,2.6315,2.6458333333333344,2.65621,2.6489999999999996,2.6382,2.6325000286,2.6337,2.6371846153846152,,,,2.6362499999999995,2.64255
SEK,3.6384999999999996,,3.6373999999999995,3.6445,3.6357,3.6414999999999997,,3.6380000000000003,3.654166666666667,3.6400000000000006,3.6445,3.6233199999999997,3.6391000151500004,3.6194999999999995,3.6532730769230772,,,,3.6310000000000002,3.618649999999999
NZD,23.622999999999998,23.743500000000004,23.622400000000003,23.674,23.7015,23.625499999999995,23.607229999999998,23.637999999999998,23.74176666666667,23.705999999999996,23.674,23.697990000000004,23.628999997,23.6425,23.61961538461538,,,,23.6595,23.6675
THB,,,0.9777099999999999,0.9774999999999997,0.9908699999999998,0.9785250000000003,,1.0219999999999998,0.9782666666666666,1.0071000000000003,0.9774999999999997,0.9749650000000001,0.97189500035,0.9843350000000001,0.9768538461538461,,,,0.98695,0.9733499999999999
EUR,33.6445,33.76049999999999,33.64005,33.7025,33.721500000000006,33.638999999999996,33.5554,33.657,33.82953333333334,33.708999999999996,33.7025,33.683299999999996,33.646999930999996,33.64149999999999,33.69461538461539,34.025925,34.025925,,33.669,33.697
CNY,5.02045,5.042,5.0233,5.032199999999999,5.029069999999999,5.023,5.019250000000001,5.033099999999999,5.0488333333333335,5.036950000000001,5.032199999999999,5.027155,5.0247499942500005,5.027900000000001,5.03123076923077,5.05908,5.05908,4.97095,5.02675,5.02435
DKK,,,,,,,,,,,,,,,,,,,4.523000000000001,
TRY,,,11.834150000000001,,,,,,,,,,,,,,,,11.84705,
MXN,,,,,,,,,,,,,,,,,,,,2.0953
PHP,,,,0.78315,,,,,0.7187600000000001,,0.78315,,,,,,,,,
IDR,,,,0.002599999999999999,,,,,0.0025866666666666664,,0.002599999999999999,,,,,,,,,
MYR,,,,9.132349999999999,,,,9.5,,,9.132349999999999,,,,,,,,,
KRW,,,,0.030885000000000013,,,,,,,0.030885000000000013,,,,,,,,,
